ID,quality_police,quality_sheriff,quality_fire,quality_ems,quality_maintenance_streets,quality_travel_ease,quality_public_transport,quality_bike_path,quality_ped_path,quality_water_sewer,quality_parks_rec,quality_library,quality_pub_school,quality_of_life
5262,4,9,3,9,4,3,4,4,4,4,3,4,2,4
5263,4,4,4,9,4,4,9,9,9,4,9,9,9,2
5264,5,5,5,5,4,4,9,4,4,5,5,5,4,5
5265,5,5,5,9,4,3,9,9,2,4,4,4,2,5
5270,4,9,9,9,2,4,4,9,2,4,4,4,9,4
5271,3,3,3,3,3,3,3,3,4,4,3,3,2,3
5275,4,4,3,3,2,3,9,9,2,1,4,9,9,5
5276,3,3,9,9,3,3,1,9,4,4,4,4,9,4
5277,9,9,9,9,3,4,9,9,9,4,4,9,9,3
5280,3,3,4,4,1,1,9,9,2,1,4,4,9,2
5284,4,9,5,4,3,2,2,3,3,3,4,5,3,5
5285,3,3,9,9,2,4,9,2,4,3,4,5,9,1
5287,9,9,4,9,4,3,2,1,1,4,4,4,4,3
5292,4,9,4,4,2,3,2,1,1,4,4,4,9,2
5293,9,9,9,9,2,2,9,2,2,4,9,5,9,5
5298,3,3,3,3,3,3,3,3,3,3,3,3,3,5
5306,4,4,4,4,2,1,9,3,3,3,3,3,9,3
5313,4,4,4,5,4,4,3,2,4,4,4,5,3,5
5318,2,9,9,9,1,3,2,2,2,5,3,5,1,2
5322,4,5,4,5,2,3,2,4,3,4,4,5,2,5
5323,3,3,3,4,2,2,1,9,1,3,9,3,1,4
5325,1,1,4,4,3,3,5,5,5,1,5,5,5,1
5326,5,5,5,5,4,4,2,3,4,4,4,5,2,5
5332,9,9,9,9,1,1,9,9,9,2,9,9,1,2
5336,5,9,3,9,4,3,9,9,2,2,3,5,9,4
5337,3,3,5,4,4,3,4,5,3,5,5,5,4,4
5342,5,5,5,5,1,3,9,3,2,2,2,2,1,5
5344,4,4,4,4,2,2,4,3,3,4,4,4,4,4
5349,2,3,4,4,3,3,4,4,4,4,5,5,4,5
5350,5,2,5,2,4,5,2,2,2,5,4,4,2,5
5357,4,4,4,4,1,2,3,4,2,2,3,4,2,4
5358,4,4,4,3,4,4,3,3,3,4,4,4,4,3
5363,4,4,4,4,3,3,2,4,5,4,4,4,4,4
5368,4,9,9,9,1,4,9,9,9,4,9,9,9,4
5370,3,3,4,3,2,4,9,1,4,5,1,4,4,4
5386,3,3,3,3,2,4,1,2,2,4,1,2,9,4
5390,3,3,4,5,4,2,2,3,9,4,3,4,3,9
5393,3,3,3,4,1,1,1,1,1,3,3,3,3,2
5402,4,4,3,4,4,2,3,4,4,4,4,5,3,5
5413,5,5,5,3,1,4,3,1,5,5,4,4,4,5
5423,4,4,4,9,3,2,9,4,3,4,4,3,4,4
5430,2,3,2,2,1,1,1,1,4,1,9,4,2,1
5434,9,9,9,9,4,2,2,3,1,3,4,5,2,4
5442,3,3,4,4,4,4,4,5,4,5,3,5,3,4
5446,5,5,5,9,2,2,3,2,2,9,4,4,3,4
5449,3,1,4,4,2,3,2,3,2,3,3,4,3,3
5452,4,4,4,9,3,4,9,5,5,5,4,4,4,5
5457,4,4,4,4,1,2,1,1,1,3,1,4,1,2
5459,4,4,2,3,4,4,9,3,2,3,4,5,2,3
5467,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5468,4,4,4,5,2,4,2,3,4,4,3,5,4,5
5486,4,3,9,4,1,2,9,9,4,4,4,4,4,1
5508,3,3,2,3,1,3,1,2,1,3,1,4,4,4
5514,1,2,9,9,2,2,9,3,1,1,3,4,9,3
5517,5,5,9,5,3,4,9,9,3,4,5,9,2,5
5524,2,3,4,4,1,1,3,2,1,3,5,5,1,9
5526,5,4,5,5,2,5,9,3,9,4,4,4,3,9
5529,5,5,5,5,2,5,5,3,3,5,4,5,5,4
5541,5,5,5,9,4,4,9,4,4,5,5,9,3,5
5547,4,4,4,9,3,3,9,4,2,5,4,9,9,5
5549,5,5,5,5,5,5,9,5,5,5,5,5,5,5
5553,4,4,4,4,1,2,3,4,2,4,4,4,4,2
5561,3,3,3,3,1,3,3,2,3,2,3,3,9,3
5563,4,4,4,9,1,1,9,9,2,4,4,4,9,3
5573,4,4,4,9,4,4,9,4,2,3,4,9,9,5
5577,3,3,3,3,4,4,2,1,1,3,3,4,9,4
5583,4,9,9,9,3,3,2,4,4,2,9,9,9,4
5600,4,4,4,4,4,2,2,4,4,4,5,5,2,5
5611,4,4,9,4,2,3,9,9,3,4,4,5,2,4
5615,4,4,9,9,4,5,9,9,2,4,4,4,4,4
5632,4,3,3,9,2,4,9,4,3,4,4,4,2,4
5637,9,5,5,3,1,3,1,4,1,4,1,4,2,1
5658,4,4,4,4,2,2,9,9,9,9,2,4,2,4
5662,4,3,3,3,2,3,9,9,4,2,9,9,4,2
5664,4,4,4,4,2,2,3,4,5,2,4,4,2,3
5695,4,9,9,9,2,4,1,2,1,4,3,3,2,4
5696,9,9,9,9,2,3,9,2,2,9,2,4,9,5
5697,4,4,4,9,2,5,4,4,4,4,4,4,4,4
5698,4,9,5,5,4,3,9,9,9,3,3,5,9,3
5704,4,3,4,4,2,2,2,4,1,4,4,3,3,2
5706,3,3,3,3,1,4,9,2,2,3,3,3,9,4
5713,4,4,3,4,4,4,9,2,2,2,3,9,2,4
5714,4,4,4,4,1,1,9,3,3,2,3,3,2,9
5716,5,5,5,5,4,4,5,4,4,5,4,4,5,5
5724,1,1,3,4,3,2,3,4,4,4,4,3,1,4
