title,artist,link
Untitled (1959),William Gear,https://collections.ed.ac.uk/art/./record/20144?highlight=*:*
Abstract Brush Drawing (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/388?highlight=*:*
Portrait of H.S. (1973),William Johnstone,https://collections.ed.ac.uk/art/./record/425?highlight=*:*
Red and Black (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/597?highlight=*:*
Untitled (Landscape) (1943),William Johnstone,https://collections.ed.ac.uk/art/./record/442?highlight=*:*
Black Sitka (1961),William Johnstone,https://collections.ed.ac.uk/art/./record/499?highlight=*:*
Untitled (yellow triangle) (1989),Mohamed Ounouh,https://collections.ed.ac.uk/art/./record/20203?highlight=*:*
Untitled - Abstract Print of Foliage in Black and White (1982),Rena R. Simpson II,https://collections.ed.ac.uk/art/./record/99332?highlight=*:*
Untitled - Two Abstract Melting Faces (1985-1986),Graeme Murray,https://collections.ed.ac.uk/art/./record/99335?highlight=*:*
Earth Element (1972),William Johnstone,https://collections.ed.ac.uk/art/./record/443?highlight=*:*
Composition (1987),Gordon W. Boyd,https://collections.ed.ac.uk/art/./record/22564?highlight=*:*
Abstract Brush Drawing (1975),William Johnstone,https://collections.ed.ac.uk/art/./record/567?highlight=*:*
Two Circles (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/592?highlight=*:*
Portrait Emerging (1976),William Johnstone,https://collections.ed.ac.uk/art/./record/566?highlight=*:*
Untitled (1971),William Johnstone,https://collections.ed.ac.uk/art/./record/19476?highlight=*:*
Drawing for Sculpture (1974),William Johnstone,https://collections.ed.ac.uk/art/./record/451?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/./record/99458?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,https://collections.ed.ac.uk/art/./record/99453?highlight=*:*
Abstract (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/387?highlight=*:*
Green Form (2018),William Johnstone,https://collections.ed.ac.uk/art/./record/390?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,https://collections.ed.ac.uk/art/./record/99442?highlight=*:*
