harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat,email
NA,0,12,16,Moderate,Strongly agree,NA,NA,Working fulltime,720
NA,30,0,12,Liberal,Disagree,No,No,Working fulltime,30
NA,10,0,12,Moderate,Disagree,NA,NA,Working parttime,10
NA,0,2,14,Slightly liberal,Strongly agree,No,Yes,Keeping house,120
NA,0,40,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime,2400
NA,0,0,12,NA,Agree,NA,NA,Working fulltime,0
No,0,2,12,NA,NA,No,No,Keeping house,120
NA,0,10,12,Slightly liberal,Agree,No,No,Working parttime,600
NA,30,0,10,Moderate,Agree,No,No,Temp not working,30
NA,0,1,10,Slightly liberal,Agree,NA,NA,Keeping house,60
No,0,1,18,Liberal,NA,Yes,No,Working fulltime,60
NA,0,2,13,Liberal,Agree,NA,NA,Working fulltime,120
NA,0,25,12,Liberal,Strongly agree,No,No,Working fulltime,1500
No,0,1,10,Slightly liberal,NA,Yes,Yes,Working parttime,60
No,0,0,14,Moderate,NA,Yes,Yes,Working parttime,0
NA,10,0,18,Moderate,Agree,No,No,Retired,10
NA,0,1,12,Liberal,Strongly agree,No,No,"Unempl, laid off",60
NA,0,2,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,120
NA,0,0,12,Moderate,Disagree,NA,NA,"Unempl, laid off",0
NA,30,0,12,Conservative,Agree,No,Yes,Working fulltime,30
No,0,5,16,Conservative,NA,No,No,Working parttime,300
NA,0,2,16,Moderate,Agree,NA,NA,Working fulltime,120
NA,0,1,12,Moderate,Agree,NA,NA,Working parttime,60
NA,0,7,16,Moderate,Strongly agree,Yes,No,Working parttime,420
No,30,1,17,Moderate,NA,No,No,Retired,90
NA,0,60,16,Liberal,Strongly agree,No,Yes,Working fulltime,3600
NA,0,4,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime,240
No,0,20,16,Extremely liberal,NA,No,No,Working fulltime,1200
NA,0,45,16,Liberal,Agree,Yes,Yes,Working fulltime,2700
NA,0,2,12,Extremely liberal,Strongly agree,NA,NA,Retired,120
No,0,1,13,Slghtly conservative,NA,Yes,Yes,Working parttime,60
NA,0,0,16,Conservative,Agree,NA,NA,Working parttime,0
NA,0,7,16,Extremely liberal,Strongly agree,No,Yes,Working parttime,420
Yes,0,2,17,Moderate,NA,No,No,Working fulltime,120
NA,0,25,17,Slightly liberal,Agree,No,No,Working fulltime,1500
NA,45,0,10,Slghtly conservative,Agree,NA,NA,"Unempl, laid off",45
NA,20,0,12,Conservative,Agree,No,No,"Unempl, laid off",20
Yes,0,1,13,Slightly liberal,NA,Yes,Yes,School,60
NA,0,60,12,Slightly liberal,Disagree,No,Yes,Working fulltime,3600
NA,20,0,10,Extrmly conservative,Agree,NA,NA,Temp not working,20
NA,0,0,10,NA,Agree,NA,NA,Retired,0
NA,0,44,14,Moderate,Agree,NA,NA,Working fulltime,2640
No,0,1,12,Slghtly conservative,NA,NA,NA,Retired,60
NA,0,1,18,Slightly liberal,Strongly agree,NA,NA,Working parttime,60
NA,0,15,20,Extremely liberal,Agree,NA,NA,Working parttime,900
NA,0,10,18,Extremely liberal,Strongly agree,NA,NA,Working fulltime,600
NA,0,40,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime,2400
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime,120
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime,120
Yes,0,60,16,Moderate,NA,No,Yes,Working fulltime,3600
NA,0,5,12,Moderate,Strongly agree,No,No,Keeping house,300
NA,0,5,19,NA,Strongly agree,NA,NA,Retired,300
No,0,15,15,Extremely liberal,NA,No,Yes,Working fulltime,900
NA,0,1,16,Extremely liberal,Agree,NA,NA,Working fulltime,60
NA,0,10,16,Moderate,Strongly disagree,No,No,Working fulltime,600
No,0,0,12,Moderate,NA,NA,NA,Retired,0
NA,0,5,11,Moderate,Agree,NA,NA,Retired,300
NA,0,3,16,Slightly liberal,Agree,NA,NA,Working fulltime,180
No,0,2,14,Moderate,NA,NA,NA,Working fulltime,120
NA,0,4,20,Moderate,Agree,No,Yes,Working fulltime,240
NA,45,0,19,Extremely liberal,Strongly agree,No,No,Working fulltime,45
No,0,7,12,Moderate,NA,No,No,Retired,420
NA,0,1,18,Slightly liberal,Agree,NA,NA,Working fulltime,60
NA,0,50,12,Moderate,Strongly agree,NA,NA,Working fulltime,3000
NA,0,1,16,Slghtly conservative,Agree,No,No,Retired,60
No,0,1,15,Moderate,NA,NA,NA,School,60
NA,0,10,12,Moderate,Agree,NA,NA,Working fulltime,600
No,0,20,16,Liberal,NA,No,Yes,Working fulltime,1200
NA,0,40,20,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,2400
NA,0,20,16,Conservative,Agree,NA,NA,Working fulltime,1200
NA,30,3,12,Moderate,Agree,NA,NA,Working fulltime,210
NA,0,1,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime,60
NA,0,8,16,Moderate,Agree,NA,NA,Working fulltime,480
NA,0,1,16,Conservative,Agree,NA,NA,Keeping house,60
NA,0,1,14,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,60
No,10,0,14,Extrmly conservative,NA,No,No,Working fulltime,10
NA,0,30,16,Liberal,Strongly agree,No,No,Working fulltime,1800
No,30,0,14,Moderate,NA,NA,NA,Working fulltime,30
NA,0,50,12,Slghtly conservative,Agree,No,No,Working fulltime,3000
NA,0,2,16,Liberal,Strongly agree,NA,NA,Working fulltime,120
NA,0,5,15,Slightly liberal,Agree,No,Yes,Working fulltime,300
NA,0,20,18,Liberal,Strongly agree,NA,NA,Working parttime,1200
NA,0,1,14,Moderate,Agree,NA,NA,Working parttime,60
NA,0,3,16,Moderate,Strongly agree,NA,NA,Keeping house,180
No,0,40,13,Moderate,NA,Yes,No,Working fulltime,2400
NA,0,0,12,Liberal,Agree,NA,NA,Working fulltime,0
NA,0,5,15,Extrmly conservative,Strongly agree,Yes,Yes,Working fulltime,300
NA,0,10,18,Slightly liberal,Agree,NA,NA,Working fulltime,600
No,0,7,13,Moderate,NA,No,Yes,Keeping house,420
No,0,1,11,Moderate,NA,Yes,Yes,Working parttime,60
NA,15,0,12,NA,Strongly agree,No,No,Working parttime,15
Yes,0,1,14,Slightly liberal,NA,No,Yes,Temp not working,60
NA,0,30,14,Moderate,Disagree,NA,NA,Working fulltime,1800
NA,0,20,16,Extremely liberal,Strongly agree,NA,NA,Working parttime,1200
NA,0,1,12,Moderate,Agree,NA,NA,Working parttime,60
NA,0,1,14,Liberal,Agree,NA,NA,Other,60
NA,0,1,12,Extrmly conservative,Agree,Yes,Yes,Keeping house,60
No,0,1,13,Conservative,NA,Yes,Yes,School,60
NA,0,8,12,Extremely liberal,Strongly agree,NA,NA,Working fulltime,480
NA,0,0,8,Slghtly conservative,Dont know,NA,NA,Keeping house,0
NA,0,0,9,Moderate,Agree,NA,NA,Working fulltime,0
NA,0,1,8,Moderate,Agree,NA,NA,Working fulltime,60
NA,0,4,9,Moderate,Agree,NA,NA,Working fulltime,240
No,0,25,14,Liberal,NA,No,No,Working fulltime,1500
NA,0,4,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,240
NA,0,1,15,Moderate,Agree,NA,NA,Working parttime,60
NA,0,12,16,Moderate,Strongly agree,NA,NA,Working fulltime,720
NA,0,42,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime,2520
No,0,2,12,Moderate,NA,No,Yes,Working fulltime,120
