compound,date,concentration
chlorophyllaActive,9/13/06,2.88
chlorophyllaActive,9/14/06,4.68
chlorophyllaTotal,9/13/06,3.66
chlorophyllaTotal,9/14/06,6.15
dissAmmoniaN,9/13/06,3
dissAmmoniaN,9/14/06,35
dissNitrateNitriteN,9/13/06,4.4
dissNitrateNitriteN,9/14/06,19.1
dissOrthophosphateP,9/13/06,7.9
dissOrthophosphateP,9/14/06,13.3
dissSilicaSI,9/13/06,150
dissSilicaSI,9/14/06,500
phaeophytin,9/13/06,1.56
phaeophytin,9/14/06,2.96
totalDissolvedNitrogenN,9/13/06,180
totalDissolvedNitrogenN,9/14/06,340
totalDissolvedPhosphorusP,9/13/06,16.1
totalDissolvedPhosphorusP,9/14/06,27
totalNitrogenN,9/13/06,280
totalNitrogenN,9/14/06,480
totalPhosphorusP,9/13/06,35.8
totalPhosphorusP,9/14/06,62.6
TSS,9/13/06,7
TSS,9/14/06,15.5
